PDBCode	Description	Organism	Ligand Names	LigandIds	No.of Ligands	ChainNames	No of Chains	Ligand Dictionary	Chain Dictionary	Chain Lengths
1BQG	D-GLUCARATE DEHYDRATASE	Pseudomonas putida	['water']	['HOH']	1	A	1	{'HOH': {'A': 145}}	{'A': {'HOH': 145}}	{'A': 451}
1DTN	MANDELATE RACEMASE	Pseudomonas aeruginosa	['MAGNESIUM ION', 'ATROLACTIC ACID (2-PHENYL-LACTIC ACID)', 'water']	['MG', 'APG', 'HOH']	3	A	1	{'MG': {'A': 1}, 'APG': {'A': 1}, 'HOH': {'A': 110}}	{'A': {'MG': 1, 'APG': 1, 'HOH': 110}}	{'A': 359}
1E9I	ENOLASE	ESCHERICHIA COLI	['MAGNESIUM ION', 'SULFATE ION', 'water']	['MG', 'SO4', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 2}, 'SO4': {'A': 0, 'C': 0, 'B': 0, 'D': 1}, 'HOH': {'A': 136, 'C': 106, 'B': 114, 'D': 150}}	{'A': {'MG': 1, 'SO4': 0, 'HOH': 136}, 'C': {'MG': 1, 'SO4': 0, 'HOH': 106}, 'B': {'MG': 1, 'SO4': 0, 'HOH': 114}, 'D': {'MG': 2, 'SO4': 1, 'HOH': 150}}	{'A': 431, 'C': 431, 'B': 431, 'D': 431}
1EBG	ENOLASE	Saccharomyces cerevisiae	['MAGNESIUM ION', 'PHOSPHONOACETOHYDROXAMIC ACID', 'water']	['MG', 'PAH', 'HOH']	3	A,B	2	{'PAH': {'A': 1, 'B': 1}, 'MG': {'A': 2, 'B': 2}, 'HOH': {'A': 187, 'B': 167}}	{'A': {'PAH': 1, 'MG': 2, 'HOH': 187}, 'B': {'PAH': 1, 'MG': 2, 'HOH': 167}}	{'A': 436, 'B': 436}
1EBH	ENOLASE	Saccharomyces cerevisiae	['CHLORIDE ION', 'MAGNESIUM ION', 'water']	['CL', 'MG', 'HOH']	3	A,B	2	{'MG': {'A': 1, 'B': 1}, 'HOH': {'A': 280, 'B': 227}, 'CL': {'A': 1, 'B': 1}}	{'A': {'MG': 1, 'HOH': 280, 'CL': 1}, 'B': {'MG': 1, 'HOH': 227, 'CL': 1}}	{'A': 436, 'B': 436}
1EC7	GLUCARATE DEHYDRATASE	Escherichia coli	['MAGNESIUM ION', 'ISOPROPYL ALCOHOL', 'water']	['MG', 'IPA', 'HOH']	3	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'IPA': {'A': 1, 'C': 1, 'B': 0, 'D': 2}, 'HOH': {'A': 312, 'C': 304, 'B': 232, 'D': 254}}	{'A': {'MG': 1, 'IPA': 1, 'HOH': 312}, 'C': {'MG': 1, 'IPA': 1, 'HOH': 304}, 'B': {'MG': 1, 'IPA': 0, 'HOH': 232}, 'D': {'MG': 1, 'IPA': 2, 'HOH': 254}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
1EC8	GLUCARATE DEHYDRATASE	Escherichia coli	['MAGNESIUM ION', '2,3-DIHYDROXY-5-OXO-HEXANEDIOATE', 'ISOPROPYL ALCOHOL', 'water']	['MG', 'GLR', 'IPA', 'HOH']	4	A,B,C,D	4	{'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'IPA': {'A': 2, 'C': 0, 'B': 0, 'D': 2}, 'GLR': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 342, 'C': 344, 'B': 259, 'D': 289}}	{'A': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 342}, 'C': {'MG': 1, 'IPA': 0, 'GLR': 1, 'HOH': 344}, 'B': {'MG': 1, 'IPA': 0, 'GLR': 1, 'HOH': 259}, 'D': {'MG': 1, 'IPA': 2, 'GLR': 1, 'HOH': 289}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
1EC9	GLUCARATE DEHYDRATASE	Escherichia coli	['MAGNESIUM ION', 'XYLAROHYDROXAMATE', 'ISOPROPYL ALCOHOL', 'water']	['MG', 'XYH', 'IPA', 'HOH']	4	A,B,C,D	4	{'XYH': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'IPA': {'A': 2, 'C': 0, 'B': 1, 'D': 1}, 'HOH': {'A': 316, 'C': 302, 'B': 231, 'D': 248}}	{'A': {'XYH': 1, 'MG': 1, 'IPA': 2, 'HOH': 316}, 'C': {'XYH': 1, 'MG': 1, 'IPA': 0, 'HOH': 302}, 'B': {'XYH': 1, 'MG': 1, 'IPA': 1, 'HOH': 231}, 'D': {'XYH': 1, 'MG': 1, 'IPA': 1, 'HOH': 248}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
1ECQ	GLUCARATE DEHYDRATASE	Escherichia coli	['4-DEOXYGLUCARATE', 'MAGNESIUM ION', 'ISOPROPYL ALCOHOL', 'water']	['DXG', 'MG', 'IPA', 'HOH']	4	A,B,C,D	4	{'DXG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'MG': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'IPA': {'A': 1, 'C': 1, 'B': 1, 'D': 1}, 'HOH': {'A': 229, 'C': 276, 'B': 168, 'D': 228}}	{'A': {'DXG': 1, 'MG': 1, 'IPA': 1, 'HOH': 229}, 'C': {'DXG': 1, 'MG': 1, 'IPA': 1, 'HOH': 276}, 'B': {'DXG': 1, 'MG': 1, 'IPA': 1, 'HOH': 168}, 'D': {'DXG': 1, 'MG': 1, 'IPA': 1, 'HOH': 228}}	{'A': 446, 'C': 446, 'B': 446, 'D': 446}
1ELS	ENOLASE	Saccharomyces cerevisiae	['MANGANESE (II) ION', 'PHOSPHONOACETOHYDROXAMIC ACID', 'water']	['MN', 'PAH', 'HOH']	3	A	1	{'PAH': {'A': 1}, 'MN': {'A': 2}, 'HOH': {'A': 343}}	{'A': {'PAH': 1, 'MN': 2, 'HOH': 343}}	{'A': 436}
